PID,TID,Source,Destination,Size_MB,Latency_us,Bandwidth_GBps,Start_ns,End_ns,WallStart_ns,WallEnd_ns
1962011,1974998,Host(NUMA 5),Device ?,16.00,965.25,17.38,11246790589946940,11246790590912190,1781444304165272730,1781444304166237980
1961790,1973354,Host(NUMA 6),Device ?,12.00,1240.53,10.14,11246790589757480,11246790590998010,1781444304165175020,1781444304166415550
1961790,1973354,Host(NUMA 6),Device ?,4.00,606.41,6.92,11246790591060040,11246790591666450,1781444304166107080,1781444304166713490
1962011,1974998,Host(NUMA 5),Device ?,12.00,778.14,16.17,11246790590958260,11246790591736400,1781444304166239250,1781444304167017390
1962011,1974998,Host(NUMA 5),Device ?,4.00,323.05,12.98,11246790591779000,11246790592102050,1781444304166889870,1781444304167212920
1961865,1973184,Host(NUMA 7),Device ?,16.00,904.95,18.54,11246790590908980,11246790591813930,1781444304166468590,1781444304167373540
1961790,1973354,Host(NUMA 6),Device ?,16.00,1039.81,16.13,11246790591718000,11246790592757810,1781444304166801820,1781444304167841630
1962011,1974998,Host(NUMA 5),Device ?,16.00,901.55,18.61,11246790592142750,11246790593044300,1781444304167230000,1781444304168131550
1961865,1973184,Host(NUMA 7),Device ?,16.00,940.71,17.83,11246790591855250,11246790592795960,1781444304167365700,1781444304168306410
1961865,1973184,Host(NUMA 7),Device ?,12.00,752.08,16.73,11246790592842110,11246790593594190,1781444304167914510,1781444304168666590
1961790,1973354,Host(NUMA 6),Device ?,16.00,953.93,17.59,11246790592813960,11246790593767890,1781444304168012160,1781444304168966090
1962011,1974998,Host(NUMA 5),Device ?,16.00,900.67,18.63,11246790593091740,11246790593992410,1781444304168350410,1781444304169251080
1961865,1973184,Host(NUMA 7),Device ?,4.00,319.37,13.13,11246790593639790,11246790593959160,1781444304169110610,1781444304169429980
1961790,1973354,Host(NUMA 6),Device ?,12.00,762.66,16.50,11246790593820210,11246790594582870,1781444304168950160,1781444304169712820
1962011,1974998,Host(NUMA 5),Device ?,12.00,662.06,19.01,11246790594039790,11246790594701850,1781444304169337200,1781444304169999260
1962011,1974998,Host(NUMA 5),Device ?,4.00,315.75,13.28,11246790594746490,11246790595062240,1781444304169855960,1781444304170171710
1961790,1973354,Host(NUMA 6),Device ?,4.00,300.90,13.94,11246790594634240,11246790594935140,1781444304170032380,1781444304170333280
1961865,1973184,Host(NUMA 7),Device ?,16.00,969.77,17.30,11246790593998560,11246790594968330,1781444304169636940,1781444304170606710
1962011,1974998,Host(NUMA 5),Device ?,16.00,879.14,19.08,11246790595101760,11246790595980900,1781444304170173540,1781444304171052680
1961865,1973184,Host(NUMA 7),Device ?,16.00,948.62,17.69,11246790595011930,11246790595960550,1781444304170285090,1781444304171233710
1961790,1973354,Host(NUMA 6),Device ?,16.00,1097.01,15.29,11246790594980380,11246790596077390,1781444304170433910,1781444304171530920
1961865,1973184,Host(NUMA 7),Device ?,12.00,716.91,17.55,11246790596018250,11246790596735160,1781444304171108680,1781444304171825590
1962011,1974998,Host(NUMA 5),Device ?,16.00,859.20,19.53,11246790596040500,11246790596899700,1781444304171247960,1781444304172107160
1961790,1973354,Host(NUMA 6),Device ?,16.00,975.58,17.20,11246790596131260,11246790597106840,1781444304171416550,1781444304172392130
1961865,1973184,Host(NUMA 7),Device ?,4.00,309.84,13.54,11246790596773730,11246790597083570,1781444304172271720,1781444304172581560
1962011,1974998,Host(NUMA 5),Device ?,12.00,581.82,21.63,11246790596950270,11246790597532090,1781444304172279190,1781444304172861010
1962011,1974998,Host(NUMA 5),Device ?,4.00,302.89,13.85,11246790597576300,11246790597879190,1781444304172727890,1781444304173030780
1961790,1973354,Host(NUMA 6),Device ?,12.00,621.43,20.25,11246790597157730,11246790597779160,1781444304172575280,1781444304173196710
1961790,1973354,Host(NUMA 6),Device ?,4.00,505.73,8.29,11246790597824580,11246790598330310,1781444304172853200,1781444304173358930
1961865,1973184,Host(NUMA 7),Device ?,16.00,991.77,16.92,11246790597122520,11246790598114290,1781444304172642750,1781444304173634520
1962011,1974998,Host(NUMA 5),Device ?,16.00,1248.01,13.44,11246790597923460,11246790599171470,1781444304173006180,1781444304174254190
1961790,1973354,Host(NUMA 6),Device ?,16.00,984.24,17.05,11246790598374380,11246790599358620,1781444304173568640,1781444304174552880
1961865,1973184,Host(NUMA 7),Device ?,16.00,1095.88,15.31,11246790598158640,11246790599254520,1781444304173631220,1781444304174727100
1961865,1973184,Host(NUMA 7),Device ?,12.00,646.29,19.47,11246790599299510,11246790599945800,1781444304174396490,1781444304175042780
1962011,1974998,Host(NUMA 5),Device ?,16.00,819.14,20.48,11246790599220610,11246790600039750,1781444304174516730,1781444304175335870
1961790,1973354,Host(NUMA 6),Device ?,16.00,1050.88,15.96,11246790599405040,11246790600455920,1781444304174577140,1781444304175628020
1961865,1973184,Host(NUMA 7),Device ?,4.00,327.86,12.79,11246790599987170,11246790600315030,1781444304175475550,1781444304175803410
1962011,1974998,Host(NUMA 5),Device ?,12.00,594.02,21.18,11246790600089310,11246790600683330,1781444304175489920,1781444304176083940
1962011,1974998,Host(NUMA 5),Device ?,4.00,286.64,14.63,11246790600726020,11246790601012660,1781444304175971640,1781444304176258280
1961790,1973354,Host(NUMA 6),Device ?,12.00,636.74,19.76,11246790600504680,11246790601141420,1781444304175903820,1781444304176540560
1961790,1973354,Host(NUMA 6),Device ?,4.00,338.77,12.38,11246790601186890,11246790601525660,1781444304176374560,1781444304176713330
1961865,1973184,Host(NUMA 7),Device ?,16.00,1027.09,16.33,11246790600354610,11246790601381700,1781444304175847720,1781444304176874810
1962011,1974998,Host(NUMA 5),Device ?,16.00,858.45,19.54,11246790601053210,11246790601911660,1781444304176293960,1781444304177152410
1961865,1973184,Host(NUMA 7),Device ?,16.00,1102.54,15.22,11246790601425070,11246790602527610,1781444304176497610,1781444304177600150
1962011,1974998,Host(NUMA 5),Device ?,16.00,855.03,19.62,11246790601959190,11246790602814220,1781444304177042600,1781444304177897630
1961790,1973354,Host(NUMA 6),Device ?,16.00,1001.14,16.76,11246790601571360,11246790602572500,1781444304177079250,1781444304178080390
1961865,1973184,Host(NUMA 7),Device ?,12.00,655.13,19.21,11246790602573780,11246790603228910,1781444304177705760,1781444304178360890
1962011,1974998,Host(NUMA 5),Device ?,12.00,609.82,20.63,11246790602863180,11246790603473000,1781444304178033740,1781444304178643560
1961865,1973184,Host(NUMA 7),Device ?,4.00,302.11,13.88,11246790603270540,11246790603572650,1781444304178516080,1781444304178818190
1962011,1974998,Host(NUMA 5),Device ?,4.00,297.06,14.12,11246790603517460,11246790603814520,1781444304178819780,1781444304179116840
1961790,1973354,Host(NUMA 6),Device ?,16.00,1020.78,16.44,11246790602619780,11246790603640560,1781444304178278220,1781444304179299000
1961790,1973354,Host(NUMA 6),Device ?,12.00,631.82,19.92,11246790603688230,11246790604320050,1781444304178831730,1781444304179463550
