WindowStart_ns,WindowEnd_ns,Source,Destination,Bytes_MB,Bandwidth_GBps,WindowStartWall_ns,WindowEndWall_ns,Duration_ms,Packet_Count
11246790594746490,11246790595062240,Host(NUMA 5),Device ?,4.00,13.28,1781444304169855960,1781444304170171710,0.316,1
11246790593998560,11246790594968330,Host(NUMA 7),Device ?,16.00,17.30,1781444304169636940,1781444304170606710,0.970,1
11246790594634240,11246790594935140,Host(NUMA 6),Device ?,4.00,13.94,1781444304170032380,1781444304170333280,0.301,1
11246790595011930,11246790595960550,Host(NUMA 7),Device ?,16.00,17.69,1781444304170285090,1781444304171233710,0.949,1
11246790595101760,11246790595980900,Host(NUMA 5),Device ?,16.00,19.08,1781444304170173540,1781444304171052680,0.879,1
11246790594980380,11246790596077390,Host(NUMA 6),Device ?,16.00,15.29,1781444304170433910,1781444304171530920,1.097,1
11246790596018250,11246790596735160,Host(NUMA 7),Device ?,12.00,17.55,1781444304171108680,1781444304171825590,0.717,1
11246790596040500,11246790596899700,Host(NUMA 5),Device ?,16.00,19.53,1781444304171247960,1781444304172107160,0.859,1
11246790596950270,11246790597532090,Host(NUMA 5),Device ?,12.00,21.63,1781444304172279190,1781444304172861010,0.582,1
11246790596131260,11246790597106840,Host(NUMA 6),Device ?,16.00,17.20,1781444304171416550,1781444304172392130,0.976,1
11246790597157730,11246790597779160,Host(NUMA 6),Device ?,12.00,20.25,1781444304172575280,1781444304173196710,0.621,1
11246790596773730,11246790597083570,Host(NUMA 7),Device ?,4.00,13.54,1781444304172271720,1781444304172581560,0.310,1
11246790597576300,11246790597879190,Host(NUMA 5),Device ?,4.00,13.85,1781444304172727890,1781444304173030780,0.303,1
11246790597824580,11246790598330310,Host(NUMA 6),Device ?,4.00,8.29,1781444304172853200,1781444304173358930,0.506,1
11246790597122520,11246790598114290,Host(NUMA 7),Device ?,16.00,16.92,1781444304172642750,1781444304173634520,0.992,1
11246790598158640,11246790599254520,Host(NUMA 7),Device ?,16.00,15.31,1781444304173631220,1781444304174727100,1.096,1
11246790597923460,11246790599171470,Host(NUMA 5),Device ?,16.00,13.44,1781444304173006180,1781444304174254190,1.248,1
11246790598374380,11246790599358620,Host(NUMA 6),Device ?,16.00,17.05,1781444304173568640,1781444304174552880,0.984,1
11246790599299510,11246790599945800,Host(NUMA 7),Device ?,12.00,19.47,1781444304174396490,1781444304175042780,0.646,1
11246790599220610,11246790600039750,Host(NUMA 5),Device ?,16.00,20.48,1781444304174516730,1781444304175335870,0.819,1
11246790600089310,11246790600683330,Host(NUMA 5),Device ?,12.00,21.18,1781444304175489920,1781444304176083940,0.594,1
11246790599405040,11246790600455920,Host(NUMA 6),Device ?,16.00,15.96,1781444304174577140,1781444304175628020,1.051,1
11246790600504680,11246790601141420,Host(NUMA 6),Device ?,12.00,19.76,1781444304175903820,1781444304176540560,0.637,1
11246790599987170,11246790600315030,Host(NUMA 7),Device ?,4.00,12.79,1781444304175475550,1781444304175803410,0.328,1
11246790600726020,11246790601012660,Host(NUMA 5),Device ?,4.00,14.63,1781444304175971640,1781444304176258280,0.287,1
11246790600354610,11246790601381700,Host(NUMA 7),Device ?,16.00,16.33,1781444304175847720,1781444304176874810,1.027,1
11246790601053210,11246790601911660,Host(NUMA 5),Device ?,16.00,19.54,1781444304176293960,1781444304177152410,0.858,1
11246790601186890,11246790601525660,Host(NUMA 6),Device ?,4.00,12.38,1781444304176374560,1781444304176713330,0.339,1
11246790601425070,11246790602527610,Host(NUMA 7),Device ?,16.00,15.22,1781444304176497610,1781444304177600150,1.103,1
11246790601959190,11246790602814220,Host(NUMA 5),Device ?,16.00,19.62,1781444304177042600,1781444304177897630,0.855,1
11246790602573780,11246790603228910,Host(NUMA 7),Device ?,12.00,19.21,1781444304177705760,1781444304178360890,0.655,1
11246790602863180,11246790603473000,Host(NUMA 5),Device ?,12.00,20.63,1781444304178033740,1781444304178643560,0.610,1
11246790601571360,11246790602572500,Host(NUMA 6),Device ?,16.00,16.76,1781444304177079250,1781444304178080390,1.001,1
