timestamp,path_id,bandwidth_gbps,is_degraded
1781253595.268,27010,13.20,1
1781253596.376,35121,12.30,1
1781253596.384,35121,20.50,0
1781253596.401,35121,10.30,1
1781253596.409,35121,20.00,0
1781253597.713,35121,13.30,1
1781253597.726,35121,11.50,1
1781253598.767,35121,20.20,0
1781253598.796,35121,12.20,1
1781253600.073,20176,18.60,0
1781253600.084,20176,13.60,1
1781253600.093,20176,19.60,0
1781253602.198,35121,13.80,1
1781253602.206,35121,20.40,0
1781253650.324,27010,14.90,0
1781253661.763,48316,14.80,0
1781253661.772,48316,17.70,0
1781253661.782,48316,15.60,0
1781253661.791,48316,17.80,0
1781253661.801,48316,15.90,0
1781253661.810,48316,16.10,0
1781253661.820,48316,16.10,0
1781253661.830,48316,15.80,0
1781253661.840,48316,16.40,0
1781253661.849,48316,16.90,0
1781253662.892,47117,16.10,0
1781253662.901,47117,17.10,0
1781253662.911,47117,16.30,0
1781253662.920,47117,17.20,0
1781253662.930,47117,16.40,0
1781253662.939,47117,17.40,0
1781253662.949,47117,16.30,0
1781253662.958,47117,17.30,0
1781253662.968,47117,16.10,0
1781253662.977,47117,17.50,0
1781253664.006,47117,17.40,0
1781253664.016,47117,16.40,0
1781253664.025,47117,17.40,0
1781253664.035,47117,15.90,0
1781253664.044,47117,18.00,0
1781253664.054,47117,15.50,0
1781253664.063,47117,18.50,0
1781253664.073,47117,15.10,0
1781253664.082,47117,19.00,0
1781253664.092,47117,14.80,0
1781253665.112,47117,14.30,0
1781253665.120,47117,18.90,0
1781253665.131,47117,15.00,0
1781253665.139,47117,18.20,0
1781253665.150,47117,15.40,0
1781253665.159,47117,17.70,0
1781253665.169,47117,15.90,0
1781253665.178,47117,17.20,0
1781253665.188,47117,16.30,0
1781253665.197,47117,16.50,0
1781253666.216,47117,15.50,0
1781253666.225,47117,18.10,0
1781253666.235,47117,15.90,0
1781253666.244,47117,17.30,0
1781253666.254,47117,16.60,0
1781253666.263,47117,17.00,0
1781253666.273,47117,16.80,0
1781253666.282,47117,16.50,0
1781253666.291,47117,17.30,0
1781253666.301,47117,16.50,0
1781253667.320,48316,14.50,0
1781253667.329,48316,19.90,0
1781253667.339,48316,14.30,0
1781253667.348,48316,19.90,0
1781253667.359,48316,14.00,1
1781253667.367,48316,20.10,0
1781253667.378,48316,13.70,1
1781253667.386,48316,20.00,0
1781253667.398,48316,13.50,1
1781253667.406,48316,20.00,0
1781253668.424,48316,17.10,0
1781253668.707,48316,20.20,0
1781253668.717,48316,15.50,0
1781253668.725,48316,18.50,0
1781253668.736,48316,15.00,0
1781253668.744,48316,19.10,0
1781253668.755,48316,14.60,0
1781253668.763,48316,19.70,0
1781253668.774,48316,14.40,0
1781253668.782,48316,19.90,0
1781253681.103,35121,14.00,1
1781253681.115,35121,13.40,1
1781253681.124,35121,17.70,0
1781253682.167,35121,9.20,1
1781253682.179,35121,12.10,1
1781253682.194,35121,10.40,1
1781253682.202,35121,19.70,0
1781253682.215,35121,12.10,1
1781253682.223,35121,19.40,0
1781253682.242,35121,7.80,1
1781253683.265,35121,10.20,1
1781253683.277,35121,13.40,1
1781253685.343,35121,12.10,1
1781253685.351,35121,19.40,0
1781253685.363,35121,13.40,1
1781253685.376,35121,11.50,1
1781253685.390,35121,10.50,1
1781253685.401,35121,15.20,0
1781253685.414,35121,11.20,1
1781253685.424,35121,16.70,0
1781253688.509,20176,16.00,0
1781253688.523,20176,10.50,1
1781253688.535,20176,13.20,1
1781253688.546,20176,14.40,0
1781253688.558,20176,12.10,1
1781253688.568,20176,16.00,0
1781253688.579,20176,15.30,0
1781253691.656,20176,18.60,0
1781253691.677,20176,6.80,1
