PID,TID,Source,Destination,Size_MB,Latency_us,Bandwidth_GBps,Start_ns,End_ns,WallStart_ns,WallEnd_ns
2730429,2730429,Host(NUMA 4),NPU 0,0.01,82.05,0.09,11427499394780550,11427499394862600,1781625012969900710,1781625012969982760
2730429,2730429,Host(NUMA 4),NPU 0,0.01,31.31,0.23,11427499394967670,11427499394998980,1781625012970141560,1781625012970172870
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2256.04,14.64,11427499395188880,11427499397444920,1781625012970275760,1781625012972531800
2730429,2730429,Host(NUMA 4),NPU 0,0.01,57.53,0.16,11427499402671820,11427499402729350,1781625012977813490,1781625012977871020
2730429,2730429,Host(NUMA 4),NPU 0,24.50,26961.18,0.95,11427499402931520,11427499429892700,1781625012978056330,1781625013005017510
2730429,2730429,Host(NUMA 4),NPU 0,259.00,16418.73,16.54,11427499430703670,11427499447122400,1781625013005841480,1781625013022260210
2730429,2730429,Host(NUMA 4),NPU 0,129.50,8681.66,15.64,11427499492133920,11427499500815580,1781625013067260050,1781625013075941710
2730429,2730429,Host(NUMA 4),NPU 0,0.01,73.66,0.10,11427499521840650,11427499521914310,1781625013096982670,1781625013097056330
2730429,2730429,Host(NUMA 4),NPU 0,0.01,48.82,0.15,11427499522019510,11427499522068330,1781625013097178980,1781625013097227800
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2241.13,14.74,11427499522254860,11427499524495990,1781625013097361150,1781625013099602280
2730429,2730429,Host(NUMA 4),NPU 0,0.01,58.70,0.16,11427499529699350,11427499529758050,1781625013104819320,1781625013104878020
2730429,2730429,Host(NUMA 4),NPU 0,24.50,26955.34,0.95,11427499529982980,11427499556938320,1781625013105132470,1781625013132087810
2730429,2730429,Host(NUMA 4),NPU 0,259.00,16659.39,16.30,11427499557616450,11427499574275840,1781625013132733420,1781625013149392810
2730429,2730429,Host(NUMA 4),NPU 0,129.50,8837.19,15.37,11427499615332520,11427499624169710,1781625013190473380,1781625013199310570
2730429,2730429,Host(NUMA 4),NPU 0,0.01,71.81,0.10,11427499645050870,11427499645122680,1781625013220171730,1781625013220243540
2730429,2730429,Host(NUMA 4),NPU 0,0.01,49.76,0.14,11427499645228650,11427499645278410,1781625013220387210,1781625013220436970
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2251.11,14.67,11427499645486400,11427499647737510,1781625013220568960,1781625013222820070
2730429,2730429,Host(NUMA 4),NPU 0,0.01,60.42,0.15,11427499653016970,11427499653077390,1781625013228155140,1781625013228215560
