nohup: ignoring input
============================================================
FlowGap Online Probe Loop
  Trace log:  ../data/collected/pass2_raw.log
  Policy:     flowgap_predictive
  Budget:     2 probes/s
  Dry run:    False
  Once mode:  False
============================================================

Opening probe executor (AscendCL)...
  OK — executor ready

Waiting for trace file: ../data/collected/pass2_raw.log
  [LAT] Path 61891: 79.2µs (0.1GB/s)
  [LAT] Path 58584: 405.5µs (0.0GB/s)
  [LAT] Path 58584: 67.2µs (0.1GB/s)
  [LAT] Path 51468: 122.8µs (0.0GB/s)
  [LAT] Path 51468: 86.4µs (0.1GB/s)
  [LAT] Path 61891: 110.7µs (0.0GB/s)
  [BW] Path 61891: 6461.8µs (20.8GB/s)
  [BW] Path 61891: 6547.5µs (20.5GB/s)
  [BW] Path 61891: 6481.5µs (20.7GB/s)
  [LAT] Path 28801: 113.0µs (0.0GB/s)
  [BW] Path 28801: 8788.8µs (15.3GB/s)
  [LAT] Path 51468: 110.2µs (0.0GB/s)
  [LAT] Path 51468: 84.5µs (0.1GB/s)
  [LAT] Path 51468: 156.8µs (0.0GB/s)
  [LAT] Path 51468: 72.6µs (0.1GB/s)
  [LAT] Path 58584: 148.3µs (0.0GB/s)
  [LAT] Path 58584: 69.5µs (0.1GB/s)
  [BW] Path 58584: 6529.9µs (20.6GB/s)
  [LAT] Path 58584: 76.1µs (0.1GB/s)
  [LAT] Path 58584: 152.4µs (0.0GB/s)
  [LAT] Path 58584: 68.7µs (0.1GB/s)
  [LAT] Path 51468: 131.0µs (0.0GB/s)
  [LAT] Path 51468: 68.8µs (0.1GB/s)
  [LAT] Path 32085: 148.9µs (0.0GB/s)
  [LAT] Path 32085: 69.4µs (0.1GB/s)
  [LAT] Path 32085: 156.8µs (0.0GB/s)
  [LAT] Path 32085: 87.0µs (0.1GB/s)
  [LAT] Path 38170: 160.6µs (0.0GB/s)
  [LAT] Path 38170: 71.7µs (0.1GB/s)
  [LAT] Path 38170: 146.2µs (0.0GB/s)
  [LAT] Path 38170: 69.5µs (0.1GB/s)
  [LAT] Path 38170: 132.0µs (0.0GB/s)
  [LAT] Path 38170: 71.3µs (0.1GB/s)
  [LAT] Path 39006: 187.9µs (0.0GB/s)
  [LAT] Path 39006: 98.4µs (0.0GB/s)
  [LAT] Path 39006: 224.4µs (0.0GB/s)
  [LAT] Path 39006: 71.2µs (0.1GB/s)
  [LAT] Path 24721: 155.0µs (0.0GB/s)
  [LAT] Path 24721: 24.2µs (0.2GB/s)
