[Fri Jun 12 16:14:58 CST 2026] 等待 20 分钟建立基线...
[Fri Jun 12 16:14:58 CST 2026] === 第1次注入: 极限竞争 (1ms, 10min, BOTH) ===
✓ ProbeExecutor 初始化成功 (设备 0)
  Buffer 大小: 128 MB (probe_bandwidth 固定)
  间隔: 1 ms
  方向: BOTH

============================================================
带宽竞争注入器启动 (基于 ProbeExecutor)
  按 Ctrl+C 停止
============================================================
  [53.4s] 6550 copies, 818.75 GB, avg 15.34 GB/s
  [53.7s] 6600 copies, 825.00 GB, avg 15.35 GB/s
  [54.2s] 6650 copies, 831.25 GB, avg 15.33 GB/s
  [54.6s] 6700 copies, 837.50 GB, avg 15.34 GB/s
  [55.0s] 6750 copies, 843.75 GB, avg 15.34 GB/s
  [55.4s] 6800 copies, 850.00 GB, avg 15.34 GB/s
  [55.8s] 6850 copies, 856.25 GB, avg 15.34 GB/s
  [56.2s] 6900 copies, 862.50 GB, avg 15.34 GB/s
  [56.6s] 6950 copies, 868.75 GB, avg 15.34 GB/s
  [57.1s] 7000 copies, 875.00 GB, avg 15.34 GB/s
  [57.5s] 7050 copies, 881.25 GB, avg 15.34 GB/s
  [57.9s] 7100 copies, 887.50 GB, avg 15.33 GB/s
  [58.3s] 7150 copies, 893.75 GB, avg 15.34 GB/s
  [58.7s] 7200 copies, 900.00 GB, avg 15.33 GB/s
  [59.1s] 7250 copies, 906.25 GB, avg 15.34 GB/s
  [59.5s] 7300 copies, 912.50 GB, avg 15.33 GB/s
  [59.9s] 7350 copies, 918.75 GB, avg 15.33 GB/s
  [60.3s] 7400 copies, 925.00 GB, avg 15.33 GB/s
  [60.7s] 7450 copies, 931.25 GB, avg 15.34 GB/s
  [61.2s] 7500 copies, 937.50 GB, avg 15.33 GB/s
  [61.6s] 7550 copies, 943.75 GB, avg 15.33 GB/s
  [62.0s] 7600 copies, 950.00 GB, avg 15.33 GB/s
  [62.4s] 7650 copies, 956.25 GB, avg 15.33 GB/s
  [62.8s] 7700 copies, 962.50 GB, avg 15.32 GB/s
  [63.2s] 7750 copies, 968.75 GB, avg 15.33 GB/s
  [63.6s] 7800 copies, 975.00 GB, avg 15.32 GB/s
  [64.0s] 7850 copies, 981.25 GB, avg 15.32 GB/s
  [64.4s] 7900 copies, 987.50 GB, avg 15.32 GB/s
  [64.9s] 7950 copies, 993.75 GB, avg 15.31 GB/s
  [65.3s] 8000 copies, 1000.00 GB, avg 15.32 GB/s
  [65.7s] 8050 copies, 1006.25 GB, avg 15.32 GB/s
  [66.1s] 8100 copies, 1012.50 GB, avg 15.32 GB/s
  [66.5s] 8150 copies, 1018.75 GB, avg 15.32 GB/s
  [66.9s] 8200 copies, 1025.00 GB, avg 15.33 GB/s
  [67.3s] 8250 copies, 1031.25 GB, avg 15.32 GB/s
  [67.7s] 8300 copies, 1037.50 GB, avg 15.32 GB/s
  [68.2s] 8350 copies, 1043.75 GB, avg 15.31 GB/s
  [68.5s] 8400 copies, 1050.00 GB, avg 15.32 GB/s
  [69.0s] 8450 copies, 1056.25 GB, avg 15.31 GB/s
  [69.4s] 8500 copies, 1062.50 GB, avg 15.32 GB/s
  [69.8s] 8550 copies, 1068.75 GB, avg 15.31 GB/s
  [70.2s] 8600 copies, 1075.00 GB, avg 15.31 GB/s
  [70.6s] 8650 copies, 1081.25 GB, avg 15.31 GB/s
  [71.0s] 8700 copies, 1087.50 GB, avg 15.31 GB/s
  [71.4s] 8750 copies, 1093.75 GB, avg 15.31 GB/s
  [71.8s] 8800 copies, 1100.00 GB, avg 15.31 GB/s
  [72.3s] 8850 copies, 1106.25 GB, avg 15.31 GB/s
  [72.7s] 8900 copies, 1112.50 GB, avg 15.31 GB/s
  [73.1s] 8950 copies, 1118.75 GB, avg 15.30 GB/s
  [73.5s] 9000 copies, 1125.00 GB, avg 15.30 GB/s
  [73.9s] 9050 copies, 1131.25 GB, avg 15.31 GB/s
  [74.3s] 9100 copies, 1137.50 GB, avg 15.30 GB/s
  [74.7s] 9150 copies, 1143.75 GB, avg 15.31 GB/s
  [75.1s] 9200 copies, 1150.00 GB, avg 15.31 GB/s
  [75.5s] 9250 copies, 1156.25 GB, avg 15.31 GB/s
