nohup: ignoring input
Waiting 15s for HCCL...
[pass2] Starting eBPF tracer...
[pass2] Tracer PID = 1705472
[pass2] Library OK: Using AscendCL library: /usr/local/Ascend/nnae/7.0.0/aarch64-linux/lib64/libascendcl.so
[pass2] Starting GLM-6B training...
[pass2] Training PID = 1706557
[pass2] Waiting for training...
output_dir is /root/mindformers/output
start training for rank 0, device 0
log saved in /root/mindformers/output/log/rank_0
start training for rank 1, device 1
log saved in /root/mindformers/output/log/rank_1
start training for rank 2, device 2
log saved in /root/mindformers/output/log/rank_2
start training for rank 3, device 3
log saved in /root/mindformers/output/log/rank_3
start training for rank 4, device 4
log saved in /root/mindformers/output/log/rank_4
start training for rank 5, device 5
log saved in /root/mindformers/output/log/rank_5
start training for rank 6, device 6
log saved in /root/mindformers/output/log/rank_6
start training for rank 7, device 7
log saved in /root/mindformers/output/log/rank_7
  [pass2] 2026-06-09 15:21:57,158 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 1416/ 7162], loss: 3.329, per_step_time: 637ms, lr: 3.49e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:22:27,814 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 1464/ 7162], loss: 3.529, per_step_time: 638ms, lr: 3.61e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:22:50,797 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 1500/ 7162], loss: 3.493, per_step_time: 636ms, lr: 3.6999998e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:22:50,797 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 1500/ 7162], loss: 3.493, per_step_time: 636ms, lr: 3.6999998e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:22:50,797 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 1500/ 7162], loss: 3.493, per_step_time: 636ms, lr: 3.6999998e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:24:30,039 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 1512/ 7162], loss: 3.703, per_step_time: 637ms, lr: 3.73e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:24:58,100 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 1556/ 7162], loss: 3.590, per_step_time: 636ms, lr: 3.8399998e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:25:28,716 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 1604/ 7162], loss: 4.017, per_step_time: 636ms, lr: 3.96e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:25:59,465 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 1652/ 7162], loss: 3.783, per_step_time: 636ms, lr: 4.0799998e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:26:30,077 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 1700/ 7162], loss: 3.494, per_step_time: 637ms, lr: 4.1999996e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:26:58,167 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 1744/ 7162], loss: 3.506, per_step_time: 637ms, lr: 4.3099997e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:27:28,815 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 1792/ 7162], loss: 3.833, per_step_time: 636ms, lr: 4.43e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:27:59,441 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 1840/ 7162], loss: 3.791, per_step_time: 638ms, lr: 4.55e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:28:30,072 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 1888/ 7162], loss: 3.661, per_step_time: 637ms, lr: 4.67e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:29:00,698 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 1936/ 7162], loss: 3.603, per_step_time: 636ms, lr: 4.7899997e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:29:28,757 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 1980/ 7162], loss: 3.523, per_step_time: 636ms, lr: 4.9e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:29:41,516 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2000/ 7162], loss: 3.761, per_step_time: 637ms, lr: 4.95e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:29:41,516 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2000/ 7162], loss: 3.761, per_step_time: 637ms, lr: 4.95e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:29:41,516 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2000/ 7162], loss: 3.761, per_step_time: 637ms, lr: 4.95e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:31:30,438 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2024/ 7162], loss: 3.794, per_step_time: 637ms, lr: 4.9962015e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:32:01,184 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2072/ 7162], loss: 3.993, per_step_time: 636ms, lr: 4.9515696e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:32:29,340 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2116/ 7162], loss: 3.786, per_step_time: 635ms, lr: 4.9097867e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:32:59,958 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2164/ 7162], loss: 3.352, per_step_time: 636ms, lr: 4.8642054e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:33:30,588 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2212/ 7162], loss: 3.747, per_step_time: 636ms, lr: 4.818624e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:34:01,206 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2260/ 7162], loss: 3.705, per_step_time: 637ms, lr: 4.7730427e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:34:31,842 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2308/ 7162], loss: 3.749, per_step_time: 636ms, lr: 4.727461e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:34:59,917 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2352/ 7162], loss: 3.641, per_step_time: 637ms, lr: 4.685678e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:35:30,560 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2400/ 7162], loss: 3.494, per_step_time: 637ms, lr: 4.6400968e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:36:01,210 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2448/ 7162], loss: 3.337, per_step_time: 638ms, lr: 4.5945155e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:36:31,839 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2496/ 7162], loss: 3.443, per_step_time: 636ms, lr: 4.548934e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:36:34,393 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2500/ 7162], loss: 3.557, per_step_time: 637ms, lr: 4.5451354e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:36:34,393 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2500/ 7162], loss: 3.557, per_step_time: 637ms, lr: 4.5451354e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:36:34,393 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2500/ 7162], loss: 3.557, per_step_time: 637ms, lr: 4.5451354e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:38:31,320 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2544/ 7162], loss: 3.458, per_step_time: 636ms, lr: 4.503353e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:39:02,142 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2592/ 7162], loss: 3.297, per_step_time: 636ms, lr: 4.4577715e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:39:32,770 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2640/ 7162], loss: 3.611, per_step_time: 637ms, lr: 4.4121898e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:40:00,843 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2684/ 7162], loss: 3.959, per_step_time: 638ms, lr: 4.370407e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:40:31,542 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2732/ 7162], loss: 3.654, per_step_time: 637ms, lr: 4.3248256e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:41:02,233 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2780/ 7162], loss: 3.508, per_step_time: 638ms, lr: 4.279244e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:41:32,841 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2828/ 7162], loss: 3.346, per_step_time: 636ms, lr: 4.233663e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:42:03,469 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2876/ 7162], loss: 3.439, per_step_time: 637ms, lr: 4.1880812e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:42:31,576 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2920/ 7162], loss: 3.869, per_step_time: 636ms, lr: 4.1462983e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:43:02,192 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 2968/ 7162], loss: 3.344, per_step_time: 637ms, lr: 4.100717e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:43:22,616 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 3000/ 7162], loss: 3.770, per_step_time: 639ms, lr: 4.0703293e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:43:22,616 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 3000/ 7162], loss: 3.770, per_step_time: 639ms, lr: 4.0703293e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:43:22,616 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 3000/ 7162], loss: 3.770, per_step_time: 639ms, lr: 4.0703293e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:45:04,097 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 3016/ 7162], loss: 3.584, per_step_time: 636ms, lr: 4.0551353e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:45:32,164 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 3060/ 7162], loss: 3.391, per_step_time: 636ms, lr: 4.0133527e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:46:02,731 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 3108/ 7162], loss: 3.702, per_step_time: 637ms, lr: 3.968721e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:46:33,406 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 3156/ 7162], loss: 3.365, per_step_time: 637ms, lr: 3.9231392e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:47:04,044 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 3204/ 7162], loss: 3.575, per_step_time: 636ms, lr: 3.877558e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:47:32,125 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 3248/ 7162], loss: 3.285, per_step_time: 636ms, lr: 3.8357754e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:48:02,776 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 3296/ 7162], loss: 3.565, per_step_time: 637ms, lr: 3.7901937e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:48:33,411 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 3344/ 7162], loss: 3.459, per_step_time: 637ms, lr: 3.7446123e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:49:04,069 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 3392/ 7162], loss: 3.441, per_step_time: 637ms, lr: 3.699031e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:49:34,748 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 3440/ 7162], loss: 3.400, per_step_time: 636ms, lr: 3.6534497e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:50:02,843 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 3484/ 7162], loss: 3.681, per_step_time: 636ms, lr: 3.6116668e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:50:13,061 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 3500/ 7162], loss: 3.253, per_step_time: 636ms, lr: 3.5964727e-05, overflow cond: False, loss_scale: 16384.0
  [pass2] 2026-06-09 15:50:13,061 - mindformers[mindformers/core/callback/callback.py:316] - INFO - { Epoch:[  1/  1], step:[ 3500/ 7162], loss: 3.253, per_step_time: 636ms, lr: 3.5964727e-05, overflow cond: False, loss_scale: 16384.0
