[Thu Jun 11 23:51:01 CST 2026] 等待 20 分钟建立基线...
[Thu Jun 11 23:51:01 CST 2026] === 第1次注入: 轻度拥塞 (20ms, 5min) ===
✓ ProbeExecutor 初始化成功 (设备 0)
  Buffer 大小: 128 MB (probe_bandwidth 固定)
  间隔: 20 ms
  方向: D2H

============================================================
带宽竞争注入器启动 (基于 ProbeExecutor)
  按 Ctrl+C 停止
============================================================
  [23.3s] 1850 copies, 231.25 GB, avg 9.92 GB/s
  [23.9s] 1900 copies, 237.50 GB, avg 9.93 GB/s
  [24.6s] 1950 copies, 243.75 GB, avg 9.93 GB/s
  [25.2s] 2000 copies, 250.00 GB, avg 9.92 GB/s
  [25.8s] 2050 copies, 256.25 GB, avg 9.92 GB/s
  [26.5s] 2100 copies, 262.50 GB, avg 9.92 GB/s
  [27.1s] 2150 copies, 268.75 GB, avg 9.92 GB/s
  [27.7s] 2200 copies, 275.00 GB, avg 9.93 GB/s
  [28.3s] 2250 copies, 281.25 GB, avg 9.93 GB/s
  [29.0s] 2300 copies, 287.50 GB, avg 9.93 GB/s
  [29.6s] 2350 copies, 293.75 GB, avg 9.92 GB/s
  [30.2s] 2400 copies, 300.00 GB, avg 9.92 GB/s
  [30.9s] 2450 copies, 306.25 GB, avg 9.92 GB/s
  [31.5s] 2500 copies, 312.50 GB, avg 9.93 GB/s
  [32.1s] 2550 copies, 318.75 GB, avg 9.93 GB/s
  [32.7s] 2600 copies, 325.00 GB, avg 9.93 GB/s
  [33.4s] 2650 copies, 331.25 GB, avg 9.92 GB/s
  [34.0s] 2700 copies, 337.50 GB, avg 9.92 GB/s
  [34.6s] 2750 copies, 343.75 GB, avg 9.92 GB/s
  [35.3s] 2800 copies, 350.00 GB, avg 9.93 GB/s
  [35.9s] 2850 copies, 356.25 GB, avg 9.93 GB/s
  [36.5s] 2900 copies, 362.50 GB, avg 9.93 GB/s
  [37.1s] 2950 copies, 368.75 GB, avg 9.93 GB/s
  [37.8s] 3000 copies, 375.00 GB, avg 9.93 GB/s
  [38.4s] 3050 copies, 381.25 GB, avg 9.93 GB/s
  [39.0s] 3100 copies, 387.50 GB, avg 9.93 GB/s
  [39.7s] 3150 copies, 393.75 GB, avg 9.93 GB/s
  [40.3s] 3200 copies, 400.00 GB, avg 9.93 GB/s
  [40.9s] 3250 copies, 406.25 GB, avg 9.93 GB/s
  [41.6s] 3300 copies, 412.50 GB, avg 9.93 GB/s
  [42.2s] 3350 copies, 418.75 GB, avg 9.92 GB/s
  [42.8s] 3400 copies, 425.00 GB, avg 9.93 GB/s
  [43.4s] 3450 copies, 431.25 GB, avg 9.93 GB/s
  [44.1s] 3500 copies, 437.50 GB, avg 9.93 GB/s
  [44.7s] 3550 copies, 443.75 GB, avg 9.93 GB/s
  [45.3s] 3600 copies, 450.00 GB, avg 9.93 GB/s
  [46.0s] 3650 copies, 456.25 GB, avg 9.93 GB/s
  [46.6s] 3700 copies, 462.50 GB, avg 9.93 GB/s
  [47.2s] 3750 copies, 468.75 GB, avg 9.93 GB/s
  [47.8s] 3800 copies, 475.00 GB, avg 9.93 GB/s
  [48.5s] 3850 copies, 481.25 GB, avg 9.93 GB/s
  [49.1s] 3900 copies, 487.50 GB, avg 9.93 GB/s
  [49.7s] 3950 copies, 493.75 GB, avg 9.93 GB/s
  [50.3s] 4000 copies, 500.00 GB, avg 9.93 GB/s
  [51.0s] 4050 copies, 506.25 GB, avg 9.93 GB/s
  [51.6s] 4100 copies, 512.50 GB, avg 9.93 GB/s
  [52.2s] 4150 copies, 518.75 GB, avg 9.93 GB/s
  [52.9s] 4200 copies, 525.00 GB, avg 9.93 GB/s
  [53.5s] 4250 copies, 531.25 GB, avg 9.93 GB/s
  [54.1s] 4300 copies, 537.50 GB, avg 9.94 GB/s
  [54.7s] 4350 copies, 543.75 GB, avg 9.93 GB/s
  [55.4s] 4400 copies, 550.00 GB, avg 9.93 GB/s
  [56.0s] 4450 copies, 556.25 GB, avg 9.93 GB/s
  [56.6s] 4500 copies, 562.50 GB, avg 9.93 GB/s
  [57.3s] 4550 copies, 568.75 GB, avg 9.93 GB/s
  [57.9s] 4600 copies, 575.00 GB, avg 9.94 GB/s
  [58.5s] 4650 copies, 581.25 GB, avg 9.94 GB/s
  [59.1s] 4700 copies, 587.50 GB, avg 9.94 GB/s
  [59.8s] 4750 copies, 593.75 GB, avg 9.93 GB/s
  [60.4s] 4800 copies, 600.00 GB, avg 9.93 GB/s
  [61.0s] 4850 copies, 606.25 GB, avg 9.93 GB/s
  [61.7s] 4900 copies, 612.50 GB, avg 9.93 GB/s
  [62.3s] 4950 copies, 618.75 GB, avg 9.94 GB/s
  [62.9s] 5000 copies, 625.00 GB, avg 9.93 GB/s
  [63.5s] 5050 copies, 631.25 GB, avg 9.93 GB/s
  [64.2s] 5100 copies, 637.50 GB, avg 9.93 GB/s
  [64.8s] 5150 copies, 643.75 GB, avg 9.93 GB/s
  [65.5s] 5200 copies, 650.00 GB, avg 9.93 GB/s
  [66.1s] 5250 copies, 656.25 GB, avg 9.93 GB/s
  [66.7s] 5300 copies, 662.50 GB, avg 9.93 GB/s
  [67.3s] 5350 copies, 668.75 GB, avg 9.93 GB/s
  [68.0s] 5400 copies, 675.00 GB, avg 9.93 GB/s
  [68.6s] 5450 copies, 681.25 GB, avg 9.93 GB/s
  [69.2s] 5500 copies, 687.50 GB, avg 9.93 GB/s
  [69.8s] 5550 copies, 693.75 GB, avg 9.93 GB/s
  [70.5s] 5600 copies, 700.00 GB, avg 9.93 GB/s
  [71.1s] 5650 copies, 706.25 GB, avg 9.93 GB/s
  [71.7s] 5700 copies, 712.50 GB, avg 9.93 GB/s
  [72.4s] 5750 copies, 718.75 GB, avg 9.93 GB/s
  [73.0s] 5800 copies, 725.00 GB, avg 9.93 GB/s
  [73.6s] 5850 copies, 731.25 GB, avg 9.94 GB/s
  [74.2s] 5900 copies, 737.50 GB, avg 9.93 GB/s
  [74.9s] 5950 copies, 743.75 GB, avg 9.93 GB/s
  [75.5s] 6000 copies, 750.00 GB, avg 9.93 GB/s
  [76.1s] 6050 copies, 756.25 GB, avg 9.93 GB/s
  [76.8s] 6100 copies, 762.50 GB, avg 9.93 GB/s
  [77.4s] 6150 copies, 768.75 GB, avg 9.93 GB/s
  [78.0s] 6200 copies, 775.00 GB, avg 9.93 GB/s
  [78.7s] 6250 copies, 781.25 GB, avg 9.93 GB/s
  [79.3s] 6300 copies, 787.50 GB, avg 9.93 GB/s
  [79.9s] 6350 copies, 793.75 GB, avg 9.93 GB/s
  [80.6s] 6400 copies, 800.00 GB, avg 9.93 GB/s
  [81.2s] 6450 copies, 806.25 GB, avg 9.93 GB/s
  [81.8s] 6500 copies, 812.50 GB, avg 9.93 GB/s
  [82.4s] 6550 copies, 818.75 GB, avg 9.93 GB/s
  [83.1s] 6600 copies, 825.00 GB, avg 9.93 GB/s
  [83.7s] 6650 copies, 831.25 GB, avg 9.93 GB/s
  [84.3s] 6700 copies, 837.50 GB, avg 9.93 GB/s
  [84.9s] 6750 copies, 843.75 GB, avg 9.93 GB/s
  [85.6s] 6800 copies, 850.00 GB, avg 9.93 GB/s
  [86.2s] 6850 copies, 856.25 GB, avg 9.93 GB/s
  [86.8s] 6900 copies, 862.50 GB, avg 9.93 GB/s
  [87.5s] 6950 copies, 868.75 GB, avg 9.93 GB/s
  [88.1s] 7000 copies, 875.00 GB, avg 9.93 GB/s
  [88.7s] 7050 copies, 881.25 GB, avg 9.93 GB/s
  [89.3s] 7100 copies, 887.50 GB, avg 9.93 GB/s
  [90.0s] 7150 copies, 893.75 GB, avg 9.93 GB/s
  [90.6s] 7200 copies, 900.00 GB, avg 9.93 GB/s
  [91.2s] 7250 copies, 906.25 GB, avg 9.93 GB/s
  [91.9s] 7300 copies, 912.50 GB, avg 9.93 GB/s
  [92.5s] 7350 copies, 918.75 GB, avg 9.93 GB/s
  [93.1s] 7400 copies, 925.00 GB, avg 9.93 GB/s
  [93.7s] 7450 copies, 931.25 GB, avg 9.93 GB/s
  [94.4s] 7500 copies, 937.50 GB, avg 9.93 GB/s
  [95.0s] 7550 copies, 943.75 GB, avg 9.93 GB/s
  [95.7s] 7600 copies, 950.00 GB, avg 9.93 GB/s
  [96.3s] 7650 copies, 956.25 GB, avg 9.93 GB/s
  [96.9s] 7700 copies, 962.50 GB, avg 9.93 GB/s
  [97.5s] 7750 copies, 968.75 GB, avg 9.93 GB/s
  [98.2s] 7800 copies, 975.00 GB, avg 9.93 GB/s
  [98.8s] 7850 copies, 981.25 GB, avg 9.93 GB/s
  [99.4s] 7900 copies, 987.50 GB, avg 9.93 GB/s
  [100.1s] 7950 copies, 993.75 GB, avg 9.93 GB/s
  [100.7s] 8000 copies, 1000.00 GB, avg 9.93 GB/s
  [101.3s] 8050 copies, 1006.25 GB, avg 9.93 GB/s
  [101.9s] 8100 copies, 1012.50 GB, avg 9.93 GB/s
  [102.6s] 8150 copies, 1018.75 GB, avg 9.93 GB/s
  [103.2s] 8200 copies, 1025.00 GB, avg 9.93 GB/s
  [103.8s] 8250 copies, 1031.25 GB, avg 9.93 GB/s
