index,path_id,bandwidth_gbps,is_degraded
122,16513,19.30,0
123,16513,10.80,1
124,16513,19.60,0
125,16513,20.10,0
126,16513,10.30,1
127,16513,19.90,0
128,16513,13.30,0
129,16513,10.50,1
130,16513,18.90,0
131,16513,13.60,0
132,16513,13.80,0
133,16513,20.20,0
134,16513,14.00,0
135,16513,16.50,0
136,16513,17.00,0
137,16513,20.40,0
138,16513,12.90,0
139,16513,19.90,0
140,16513,16.60,0
141,16513,12.80,0
142,16513,19.70,0
143,16513,12.20,1
144,16513,15.70,0
145,16513,20.10,0
146,16513,14.10,0
147,16513,19.80,0
148,16513,14.60,0
149,16513,11.80,1
150,16513,17.30,0
151,16513,17.10,0
152,16513,10.20,1
153,16513,15.20,0
154,16513,19.70,0
155,16513,14.60,0
156,16513,19.70,0
157,16513,20.10,0
158,16513,10.40,1
159,16513,19.50,0
160,16513,17.30,0
161,16513,10.80,1
162,16513,19.90,0
163,16513,11.80,1
164,16513,13.40,0
165,16513,16.90,0
166,16513,19.70,0
167,16513,19.70,0
168,16513,19.70,0
169,16513,11.50,1
170,16513,17.70,0
171,16513,13.60,0
172,16513,11.40,1
173,16513,11.10,1
174,16513,13.30,0
175,16513,19.20,0
176,16513,19.20,0
177,16513,9.50,1
178,16513,16.70,0
179,16513,17.60,0
180,16513,10.40,1
181,16513,10.10,1
182,16513,19.10,0
183,16513,15.90,0
184,16513,19.00,0
185,16513,20.00,0
186,16513,19.10,0
187,16513,19.60,0
188,16513,19.70,0
189,16513,10.30,1
190,16513,18.70,0
191,16513,17.70,0
192,16513,10.20,1
193,16513,13.00,0
194,16513,19.10,0
195,16513,13.30,0
196,16513,19.60,0
197,16513,6.30,1
198,16513,15.30,0
199,16513,15.80,0
200,16513,10.60,1
201,16513,10.30,1
202,16513,17.90,0
203,16513,20.00,0
204,16513,13.70,0
205,16513,9.30,1
206,16513,19.90,0
207,16513,12.60,0
208,16513,15.90,0
209,16513,7.10,1
210,16513,9.30,1
211,16513,19.90,0
212,16513,10.20,1
213,16513,9.70,1
214,16513,7.20,1
215,16513,17.80,0
216,16513,10.80,1
217,16513,8.80,1
218,16513,17.90,0
219,16513,17.50,0
220,16513,14.40,0
221,16513,18.40,0
222,16513,13.20,0
223,16513,19.70,0
224,16513,15.30,0
225,16513,6.00,1
226,16513,19.80,0
227,16513,20.60,0
228,16513,11.00,1
229,36012,20.70,0
230,36012,14.00,0
231,16513,20.50,0
232,16513,20.20,0
233,16513,13.20,0
234,16513,19.50,0
235,31572,8.50,1
236,31572,19.40,0
237,56659,11.40,1
238,16513,20.70,0
239,16513,20.50,0
240,16513,20.40,0
241,16513,20.50,0
242,16513,20.10,0
243,16513,10.70,1
244,16513,12.70,0
245,16513,16.00,0
246,16513,13.00,0
247,16513,20.20,0
248,16513,20.20,0
249,16513,20.00,0
250,16513,20.40,0
251,16513,20.50,0
252,16513,20.20,0
253,16513,11.30,1
254,16513,13.70,0
255,16513,14.20,0
256,16513,12.50,0
257,16513,20.50,0
258,16513,20.30,0
259,16513,20.50,0
260,16513,20.30,0
261,16513,20.10,0
262,16513,20.20,0
263,16513,20.20,0
264,16513,20.20,0
265,16513,11.90,1
266,16513,14.20,0
267,16513,13.90,0
268,16513,11.70,1
269,16513,20.50,0
270,16513,20.20,0
271,16513,20.30,0
272,16513,20.10,0
273,16513,20.00,0
274,16513,20.40,0
275,16513,11.30,1
276,16513,12.50,0
277,16513,16.20,0
278,16513,14.10,0
279,16513,20.10,0
280,16513,20.30,0
281,16513,20.40,0
282,16513,10.40,1
283,16513,20.30,0
284,16513,19.40,0
285,16513,20.40,0
286,16513,20.20,0
287,16513,18.10,0
288,16513,15.30,0
289,16513,13.40,0
290,16513,15.80,0
291,16513,19.80,0
292,16513,20.40,0
293,16513,19.00,0
294,16513,14.60,0
295,16513,14.00,0
296,16513,17.60,0
297,16513,19.60,0
298,16513,20.40,0
299,16513,17.20,0
300,16513,13.50,0
301,16513,15.10,0
302,16513,14.50,0
303,16513,19.70,0
304,16513,20.40,0
305,16513,19.80,0
306,16513,15.50,0
307,16513,13.20,0
308,16513,16.90,0
309,16513,19.60,0
310,16513,20.50,0
311,16513,17.90,0
312,16513,13.70,0
313,16513,15.00,0
314,16513,19.80,0
315,16513,20.00,0
316,16513,20.50,0
317,16513,15.80,0
318,16513,12.40,0
319,16513,16.70,0
320,16513,20.30,0
321,16513,19.80,0
322,16513,20.30,0
323,16513,14.10,0
324,16513,11.80,1
325,16513,17.80,0
326,16513,20.40,0
327,16513,19.70,0
328,16513,20.30,0
329,16513,13.20,0
330,16513,10.90,1
331,16513,20.50,0
332,16513,16.20,0
333,16513,12.70,0
334,36012,13.90,0
335,36012,19.80,0
336,36012,12.60,0
337,36012,16.60,0
338,16513,19.90,0
339,16513,11.10,1
340,16513,13.40,0
341,16513,19.70,0
342,16513,18.40,0
343,16513,20.20,0
344,16513,13.20,0
345,16513,20.60,0
346,35431,15.90,0
347,35431,14.80,0
348,35431,20.30,0
349,16513,20.40,0
350,16513,13.50,0
351,16513,20.30,0
352,16513,19.80,0
353,16513,20.40,0
354,16513,12.40,0
355,16513,14.40,0
356,16513,14.10,0
357,16513,16.60,0
358,16513,20.10,0
359,16513,20.60,0
360,16513,19.60,0
361,16513,15.80,0
362,16513,13.00,0
363,16513,12.40,0
364,16513,19.70,0
365,16513,20.40,0
366,16513,16.40,0
367,16513,12.80,0
368,16513,16.00,0
369,16513,20.40,0
370,16513,19.80,0
371,16513,20.30,0
372,16513,14.40,0
373,16513,12.30,1
374,16513,17.00,0
375,16513,20.20,0
376,16513,19.80,0
377,16513,20.20,0
378,16513,15.90,0
379,16513,13.60,0
380,16513,15.00,0
381,16513,17.00,0
382,16513,19.70,0
383,16513,20.00,0
384,16513,19.10,0
385,16513,15.80,0
386,16513,13.00,0
387,16513,15.90,0
388,16513,19.90,0
389,16513,20.20,0
390,16513,19.70,0
391,16513,6.20,1
392,16513,9.90,1
393,16513,12.80,0
394,16513,19.10,0
395,16513,19.20,0
396,16513,20.30,0
397,16513,20.00,0
398,16513,19.20,0
399,16513,6.40,1
400,16513,17.10,0
401,16513,11.20,1
402,16513,19.60,0
403,16513,6.80,1
404,16513,12.80,0
405,16513,11.20,1
406,16513,19.80,0
407,16513,14.60,0
408,16513,12.00,1
409,16513,19.60,0
410,16513,16.10,0
411,16513,10.80,1
412,16513,17.40,0
413,16513,9.70,1
414,16513,19.60,0
415,16513,18.10,0
416,16513,15.10,0
417,16513,17.50,0
418,16513,19.60,0
419,16513,6.20,1
420,16513,13.60,0
421,16513,13.20,0
422,16513,11.70,1
423,16513,11.70,1
424,16513,17.70,0
425,16513,19.90,0
426,16513,15.60,0
427,16513,7.50,1
428,16513,20.20,0
429,16513,11.50,1
430,16513,18.10,0
431,16513,7.10,1
432,16513,9.30,1
433,16513,19.80,0
434,16513,11.00,1
435,16513,8.40,1
436,16513,7.20,1
437,16513,20.10,0
438,16513,10.10,1
439,16513,6.00,1
440,16513,16.50,0
441,16513,9.90,1
442,16513,19.80,0
443,16513,20.30,0
444,16513,18.70,0
445,16513,17.60,0
446,16513,11.10,1
447,16513,15.30,0
448,16513,11.30,1
449,16513,19.80,0
450,16513,9.40,1
451,16513,19.50,0
452,16513,19.20,0
453,16513,19.80,0
454,16513,5.20,1
455,16513,16.50,0
456,16513,15.20,0
457,16513,8.60,1
458,16513,5.60,1
459,16513,19.80,0
460,16513,19.70,0
461,16513,8.10,1
462,16513,8.20,1
463,16513,19.20,0
464,16513,19.50,0
465,16513,7.10,1
466,16513,9.30,1
467,16513,17.40,0
468,16513,18.90,0
469,16513,6.40,1
470,16513,10.90,1
471,16513,19.40,0
472,16513,10.90,1
473,16513,8.50,1
474,16513,7.10,1
475,16513,20.10,0
476,16513,10.60,1
477,16513,9.20,1
478,16513,7.50,1
479,16513,17.40,0
480,16513,10.40,1
481,16513,10.10,1
482,16513,18.00,0
483,16513,19.90,0
484,16513,19.70,0
485,16513,6.70,1
486,16513,19.80,0
487,16513,10.90,1
488,16513,19.10,0
489,16513,8.20,1
490,16513,9.00,1
491,16513,20.40,0
492,16513,10.70,1
